Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Country,City,State,Region
12/31/2024,Printer,Office,North,4,3640,348.93,United States,Henderson,Kentucky,South
11/27/2022,Mouse,Accessories,East,7,1197,106.53,United States,Henderson,Kentucky,South
5/11/2022,Tablet,Electronics,South,5,5865,502.73,United States,Fort Lauderdale,Florida,South
3/16/2024,Mouse,Accessories,South,2,786,202.87,United States,Los Angeles,California,West
9/10/2022,Mouse,Accessories,West,1,509,103.28,United States,Los Angeles,California,West
12/1/2023,Camera,Electronics,West,1,524,106.35,United States,Philadelphia,Pennsylvania,East
10/9/2023,Headphones,Accessories,North,7,6167,1027.98,United States,Orem,Utah,West
1/14/2022,Camera,Electronics,South,7,3059,873.5,United States,Philadelphia,Pennsylvania,East
4/2/2022,Smartwatch,Electronics,East,9,5526,595.28,United States,Philadelphia,Pennsylvania,East
10/22/2024,Printer,Office,South,8,672,186.37,United States,Richardson,Texas,Central
12/4/2023,Monitor,Accessories,South,6,7074,1357.68,United States,Houston,Texas,Central
9/27/2022,Smartwatch,Electronics,East,2,502,137.4,United States,Houston,Texas,Central
12/21/2023,Tablet,Electronics,North,7,7462,2166.17,United States,New Albany,Indiana,Central
2/3/2024,Smartphone,Electronics,West,5,4205,585.29,United States,New Albany,Indiana,Central
10/10/2023,Camera,Electronics,West,1,570,138.54,United States,Troy,New York,East
10/16/2022,Headphones,Accessories,East,1,441,102.42,United States,Los Angeles,California,West
5/15/2022,Mouse,Accessories,North,7,7469,589.81,United States,Chicago,Illinois,Central
2/11/2023,Tablet,Electronics,South,2,2212,145.75,United States,Memphis,Tennessee,South
12/27/2023,Tablet,Electronics,East,5,740,146.39,United States,Memphis,Tennessee,South
10/5/2023,Headphones,Accessories,North,1,662,193.92,United States,Houston,Texas,Central
3/5/2024,Mouse,Accessories,North,7,5712,651.27,United States,Houston,Texas,Central
7/18/2023,Smartwatch,Electronics,North,3,2739,572.73,United States,Columbia,South Carolina,South
6/25/2023,Keyboard,Accessories,West,5,1400,213.63,United States,Minneapolis,Minnesota,Central
11/13/2023,Printer,Office,North,3,3477,939.2,United States,New York City,New York,East
7/9/2022,Camera,Electronics,North,5,3475,570.36,United States,Aurora,Colorado,West
12/11/2023,Laptop,Electronics,West,9,6138,1562.14,United States,New York City,New York,East
3/18/2023,Camera,Electronics,West,5,3665,406.93,United States,Seattle,Washington,West
8/9/2024,Printer,Office,North,2,2372,206.42,United States,Wilmington,Delaware,East
5/4/2024,Laptop,Electronics,North,2,1382,211.11,United States,Houston,Texas,Central
9/4/2022,Laptop,Electronics,West,1,1126,194.08,United States,Bloomington,Illinois,Central
10/21/2022,Printer,Office,West,8,1376,152.1,United States,Los Angeles,California,West
1/22/2024,Mouse,Accessories,West,4,988,147.91,United States,Los Angeles,California,West
4/9/2023,Laptop,Electronics,North,9,10773,1907.36,United States,Roseville,California,West
